ocid,id,initiationType,buyer_id,buyer_name,language,value_amount,value_currency,numberOfTenderers,date,tag,release_id,winer_name,numero,eligibilityCriteria,description
ocds-5wno2w-LICS-EPMR-2020-001-322368,LICS-EPMR-2020-001-322368-2021-11-30T23:56:35.658Z,tender,EC-RUC-1768158170001-322368,Empresa Pública Municipal de Residuos Sólidos Rumiñahui Aseo EPM,es,72340.21,USD,4,2020-04-08T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",LICS-EPMR-2020-001-322368-2021-11-30T23:56:35.658Z,SEGUROS EQUINOCCIAL S. A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Personal Técnico","El proveedor cumplió con la integridad de la oferta, parámetros de calificación, términos de referencia y demás condiciones establecidas en el pliego. Adicional, en la etapa de calificación por puntaje se determinó un puntaje total de 100."
ocds-5wno2w-LICS-MDN-001-2020-54226,LICS-MDN-001-2020-54226-2021-12-01T00:41:19.561Z,tender,EC-RUC-1760000740001-54226,MINISTERIO DE DEFENSA NACIONAL,es,664271.57,USD,1,2020-02-19T00:00:00-05:00,"[""planning"",""tender"",""award""]",LICS-MDN-001-2020-54226-2021-12-01T00:41:19.561Z,SEGUROS SUCRE S.A.,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","POR CUMPLIR CON LO SOLICITADO EN EL PLIEGO Y TERMINOS DE REFERENCIA Y, POR CONVENIR A LOS INTERESES NACIONALES E INSTITUCIONALES."
ocds-5wno2w-LIC01-EMMAIT-EP-2020-316454,LIC01-EMMAIT-EP-2020-316454-2021-11-29T14:31:16.906Z,tender,EC-RUC-1865030900001-316454,EMMAIT-EP,es,14000,USD,2,2020-06-16T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LIC01-EMMAIT-EP-2020-316454-2021-11-29T14:31:16.906Z,ZURICH SEGUROS ECUADOR S.A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",Cumple con los parámetros  requeridos en los pliegos
ocds-5wno2w-LBS_GADMCSPP_001_20-85942,LBS_GADMCSPP_001_20-85942-2021-11-29T14:16:26.141Z,tender,EC-RUC-1860000640001-85942,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAN PEDRO DE PELILEO,es,42843.48,USD,2,2020-01-20T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LBS_GADMCSPP_001_20-85942-2021-11-29T14:16:26.141Z,SEGUROS SUCRE S.A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",EL OFERENTE CUMPLE CON LO REQUERIDO EN LOS PLIEGOS DEL PRESENTE PROCESO DE CONTRATACION INTEGRIDAD DE LA OFERTA - MEJOR PUNTUADA
ocds-5wno2w-LIC-12D01-001-2020-51561,LIC-12D01-001-2020-51561-2021-11-29T14:16:40.912Z,tender,EC-RUC-1260006500001-51561,DIRECCION DISTRITAL 12D01 - BABA - BABAHOYO - MONTALVO - SALUD,es,50717.9,USD,2,2020-01-23T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LIC-12D01-001-2020-51561-2021-11-29T14:16:40.912Z,LATINA SEGUROS Y REASEGUROS C.A.,0,"Oferta Económica,Certificados de calidad de bienes,Ponderación Variable Producción Nacional Otros,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Personal Técnico,Experiencia General",POR CUMPLIR CON LOS PARAMETROS DE CALIFICACION SOLICITADOS EN LOS PLIEGOS
ocds-5wno2w-LBS-HPAVR-001-2020-137276,LBS-HPAVR-001-2020-137276-2021-11-29T14:23:12.665Z,tender,EC-RUC-0660800990001-137276,HOSPITAL PEDIATRICO ALFONSO VILLAGOMEZ,es,20899.05,USD,3,2020-03-13T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LBS-HPAVR-001-2020-137276-2021-11-29T14:23:12.665Z,SWEADEN COMPAÑIA DE SEGUROS S.A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","CONFORME RESOLUCION MOTIVADA, GENERADA POR MAXIMA AUTORIDAD INSTITUCIONAL"
ocds-5wno2w-LICBS-INEC-001-2020-2505,LICBS-INEC-001-2020-2505-2021-11-29T14:22:59.567Z,tender,EC-RUC-1768038270001-2505,INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS,es,80135.22,USD,6,2020-03-12T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LICBS-INEC-001-2020-2505-2021-11-29T14:22:59.567Z,HISPANA DE SEGUROS S.A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia Específica,Experiencia Personal Técnico",CUMPLE LO SOLICITADO EN LOS PLIEGOS DELPROCESO
ocds-5wno2w-LIC-ARCONEL-2020-005-587931,LIC-ARCONEL-2020-005-587931-2021-11-29T14:19:54.218Z,tender,EC-RUC-1768181070001-587931,ARCONEL - AGENCIA DE REGULACIÓN Y CONTROL DE ELECTRICIDAD,es,37500,USD,3,2020-02-19T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LIC-ARCONEL-2020-005-587931-2021-11-29T14:19:54.218Z,SEGUROS SUCRE S.A.,0,"Oferta Económica,Otros Parámetros de Calificación,Indices Financieros,Personal Técnico,Experiencia General,Experiencia Específica",CUMPLIMIENTO DE ESPECIFICACIONES TÉCNICAS SOLICITADAS POR LA ENTIDAD.
ocds-5wno2w-LICS-11D06CGQS-2020-38702,LICS-11D06CGQS-2020-38702-2021-11-29T14:19:06.012Z,tender,EC-RUC-1160004820001-38702,DIRECCION DISTRITAL 11D06- CALVAS-GONZANAMA-QUILANGA-SALUD,es,14999.21,USD,3,2020-02-14T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LICS-11D06CGQS-2020-38702-2021-11-29T14:19:06.012Z,SEGUROS ALIANZA S A,0,"Oferta Económica,Otros Parámetros de Calificación,Indices Financieros,Experiencia General,Experiencia Específica","Por ser la oferta que califica de acuerdo a las especificaciones técnicas y parámetros establecidos en los pliegos con un puntaje de 99.38 puntos, y ser la más conveniente a los intereses institucionales"
ocds-5wno2w-LICS-DD06D02-2020-02-575768,LICS-DD06D02-2020-02-575768-2021-11-29T14:30:14.291Z,tender,EC-RUC-0660841160001-575768,DIRECCION DISTRITAL 06D02 ALAUSI CHUNCHI SALUD,es,19466.96,USD,2,2020-06-02T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LICS-DD06D02-2020-02-575768-2021-11-29T14:30:14.291Z,ASEGURADORA DEL SUR C. A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","La Comisión Técnica recomendó adjudicar  al Oferente ASEGURADORA DEL SUR, como ganador del proceso, EVALUACION DE PUNTUACION con un resultado de 91,90 en virtud que es conveniente para los intereses institucionales, por un valor de USD $18,385.69 DIECIOCHO MIL TRECIENTOS OCHENTA  Y CINCO CON 69/100 USD DÓLARES AMERICANOS sin incluir IVA."
