ocid,id,initiationType,buyer_id,buyer_name,language,value_amount,value_currency,numberOfTenderers,date,tag,release_id,winer_name,numero,eligibilityCriteria,description
ocds-5wno2w-001-LICS-GPLR-2021-2805,001-LICS-GPLR-2021-2805-2021-11-29T11:05:32.910Z,tender,EC-RUC-1260000140001-2805,GOBIERNO PROVINCIAL DE LOS RIOS,es,8159.72,USD,1,2021-07-08T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",001-LICS-GPLR-2021-2805-2021-11-29T11:05:32.910Z,ASEGURADORA DEL SUR C. A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",EL OFERENTE HA SIDO ADJUDICADO POR CUMPLIR CON LOS REQUISITOS MINIMOS SOLICITADOS EN EL PLIEGO DEL PRESENTE PROCESO
ocds-5wno2w-CBCH-BIE-001-2021-129125,CBCH-BIE-001-2021-129125-2021-11-29T11:18:57.822Z,tender,EC-RUC-1360053910001-129125,CUERPO DE BOMBEROS DE CHONE,es,19641.32,USD,3,2021-10-01T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",CBCH-BIE-001-2021-129125-2021-11-29T11:18:57.822Z,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica","POR CUMPLIR CON LO REQUERIDO EN LOS PLIEGOS Y OBTENER EL MAYOR PUNTAJE DE CALIFICACIÓN DE 100,00 PUNTOS SE ABJUDICA SWEADEN CIA. DE SEGURO S.A."
ocds-5wno2w-002-LICBS-GPLR-2021-2805,002-LICBS-GPLR-2021-2805-2022-02-25T10:18:15.818Z-compiled,tender,EC-RUC-1260000140001-2805,GOBIERNO PROVINCIAL DE LOS RIOS,es,281591.95,USD,3,2022-02-25T05:25:21-05:00,"[""planning"",""tender"",""award"",""contract""]",002-LICBS-GPLR-2021-2805-2022-02-25T10:18:15.818Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Personal Técnico,Experiencia General,Experiencia Específica",EL OFERENTE HA SIDO ADJUDICADO POR CUMPLIR CON LOS REQUISITOS SOLICITADOS EN EL PLIEGO DEL PRESENTE PROCESO.
ocds-5wno2w-029-JDLR-GADMCP-2021-63260,029-JDLR-GADMCP-2021-63260-2021-11-29T11:15:24.919Z,tender,EC-RUC-1360001870001-63260,Municipio Canton Pichincha,es,105763.69,USD,2,2021-09-02T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",029-JDLR-GADMCP-2021-63260-2021-11-29T11:15:24.919Z,LATINA SEGUROS Y REASEGUROS C.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por haber  cumplido  con  los  requisitos  mínimos  que  se  detallan  en  los pliegos y por alcanzar la máxima calificación en la valoración por puntaje, según la recoemndación de la Comisión Técnica contenida en el Acta N 3."
ocds-5wno2w-LCS-D07D05AHLLS-01-2-99129,LCS-D07D05AHLLS-01-2-99129-2021-11-29T10:43:27.684Z,tender,EC-RUC-0760005650001-99129,DIRECCION DISTRITAL 07D05-ARENILLAS-HUAQUILLAS-LAS LAJAS-SALUD,es,46389.19,USD,2,2021-08-20T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract"",""implementation""]",LCS-D07D05AHLLS-01-2-99129-2021-11-29T10:43:27.684Z,ASEGURADORA DEL SUR C. A.,0,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",se adjudica por obtener el puntaje más alto en los parámetros de calificación
ocds-5wno2w-LC-EMAPASG-001-2021-314601,LC-EMAPASG-001-2021-314601-2021-11-29T10:58:08.904Z,tender,EC-RUC-0160049440001-314601,"Empresa Municipal de Agua Potable, Alcantarillado y Saneamiento de Gualaceo EP",es,15648.07,USD,3,2021-05-31T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",LC-EMAPASG-001-2021-314601-2021-11-29T10:58:08.904Z,ASEGURADORA DEL SUR C. A.,1,"Oferta Económica,Ponderación Variable Asociación con Nacional,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica",Por ser la más conveniente a los intereses nacionales e institucionales.
ocds-5wno2w-LBS-DD11D03-001-2021-18841,LBS-DD11D03-001-2021-18841-2021-11-29T10:52:29.795Z,tender,EC-RUC-1160005470001-18841,DIRECCION DISTRITAL 11D03 - PALTAS - CATAMAYO - CHAGUARPAMBA - OLMEDO - SALUD,es,23157.21,USD,2,2021-04-21T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",LBS-DD11D03-001-2021-18841-2021-11-29T10:52:29.795Z,ASEGURADORA DEL SUR C. A.,1,"Oferta Económica,Ponderación Variable Producción Nacional Otros,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",Por haber cumplido con todos los requisitos establecidos en los pliegos.
ocds-5wno2w-LCS-DD13D04-001-2021-150858,LCS-DD13D04-001-2021-150858-2021-11-29T11:09:47.769Z,tender,EC-RUC-1360009340001-150858,DIRECCION DISTRITAL DE SALUD N 13D04 24 DE MAYO - SANTA ANA - OLMEDO,es,34234.67,USD,2,2021-08-03T00:00:00-05:00,"[""planning"",""tender"",""award"",""contract""]",LCS-DD13D04-001-2021-150858-2021-11-29T11:09:47.769Z,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico",Por ser  conveniente para los intereses institucionales.
ocds-5wno2w-LBS_GADMCSPP_001_21-85942,LBS_GADMCSPP_001_21-85942-2021-11-29T11:21:58.445Z,tender,EC-RUC-1860000640001-85942,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAN PEDRO DE PELILEO,es,30194.47,USD,3,2021-01-26T00:00:00-05:00,"[""planning"",""tender"",""award""]",LBS_GADMCSPP_001_21-85942-2021-11-29T11:21:58.445Z,ASEGURADORA DEL SUR C. A.,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","RESOLUCIÓN ADMINISTRATIVA N 012-A-GADMCSPP-2021, POR CUMPLIR CON TODOS LOS REQUISITOS SOLICITADOS POR LA ENTIDAD"
ocds-5wno2w-LBS_GADMCSPP_002_21-85942,LBS_GADMCSPP_002_21-85942-2021-11-29T11:27:42.623Z,tender,EC-RUC-1860000640001-85942,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAN PEDRO DE PELILEO,es,13392.86,USD,1,2021-06-23T00:00:00-05:00,"[""planning"",""tender"",""award""]",LBS_GADMCSPP_002_21-85942-2021-11-29T11:27:42.623Z,ASEGURADORA DEL SUR C. A.,2,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica",POR CUMPLIR CON LO REQUERIDO POR LA ENTIDAD CONTRATANTE
