ocid,id,initiationType,buyer_id,buyer_name,language,value_amount,value_currency,numberOfTenderers,date,tag,release_id_x,winer_name,numero,eligibilityCriteria,description
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,12048.27,USD,1,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,12048.27,USD,1,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,12048.27,USD,1,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,12048.27,USD,1,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Trabajos similares exitosos,Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,13874530.58,USD,3,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,13874530.58,USD,3,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,13874530.58,USD,3,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Certificados de calidad de bienes,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,13874530.58,USD,3,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Equipo Propuesto,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,230000,USD,2,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Trabajos similares exitosos,Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
ocds-5wno2w-LIS-CBGADMIS-001-23-102009,LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,tender,EC-RUC-0560016110001-102009,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAQUISILI,es,230000,USD,2,2023-02-04T05:35:21-05:00,"[""planning"",""tender"",""award"",""contract""]",LIS-CBGADMIS-001-23-102009-2023-02-04T10:34:56.685Z-compiled,SWEADEN COMPAÑIA DE SEGUROS S.A.,1,"Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","Por cumplir con todo lo estipulado por la institución en el proceso de licitación de seguros, tomando muy encuentra que la oferta se esta a favor de los intereses institucionales."
